file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00428_412.050-413.050,གང་གས་མ་དགའ་བ་བྱེད།  ,gang gas ma dga' ba byed/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00428_412.050-413.050.wav,STT_TT,3,21,1.0,wav16k/STT_TT00428_412.050-413.050.wav,གང་ག་མ་དགའ་པ་བྱས།
STT_TT00445_445.500-448.100,ད་ང་ཚོས་ཅིག ཨ་མ་སྐྱབས་འདོད་ཀི་ཅིག འདོད་པ་ར་ཅིག ,da nga tshos cig_a ma skyabs 'dod ki cig_'dod pa ra cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00445_445.500-448.100.wav,STT_TT,3,47,2.6000000000000227,wav16k/STT_TT00445_445.500-448.100.wav,ད་ང་ཚོ་ཅིག ཨ་མ་སྐྱབས་འདོད་ཀི་ཅིག་འདོད་པ་ར་ཅིག
STT_TT00410_185.650-188.750,ཨང་། སང་ཉིན་ཞོགས་ཀའི། དམིགས་བསལ་དོན་དག་སེ་གེ་མེད་པ་བྱས། ཉིན་གུང་ཚར་ནས། དོན་དག་སེ་གེ་མེད་པ་ཆགས།  ,ang /_sang nyin zhogs ka'i/_dmigs bsal don dag se ge med pa byas/_nyin gung tshar nas/_don dag se ge med pa chags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00410_185.650-188.750.wav,STT_TT,3,96,3.0999999999999943,wav16k/STT_TT00410_185.650-188.750.wav,ཨེ་ན། སང་ཉིན་ཞོགས་པའི་དམིགས་བསལ་དོན་དག་སེ་གེ་མེད་པ་བྱས། ཉིན་གུང་ཚར་ནས་དོན་དག་སེ་གེ་མེད་པ་ཆགས།
STT_TT00406_498.450-500.100,སོ་སོས་དཀའ་ལས་བརྒྱབས་བཞག་རྒྱོ་གི། འབྲས་བུ་དེའི་དོན་དག་ལ་ཡ།  ,so sos dka' las brgyabs bzhag rgyo gi/_'bras bu de'i don dag la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00406_498.450-500.100.wav,STT_TT,3,60,1.650000000000034,wav16k/STT_TT00406_498.450-500.100.wav,སོ་སོས་དཀའ་ལས་བརྒྱབ་བཞག་རྒྱོ་གི་འབྲས་བུ་དེའི་དོན་དག་ལ་ཡ།
STT_TT00426_338.350-340.550,མི་འགྲོ་འགྲོ། མི་སྡོད་སྡོད་འདྲ་བྱས། མི་ཚེ་སྐྱེལ་དགོས་དུས་དེ་བ།  ,mi 'gro 'gro/_mi sdod sdod 'dra byas/_mi tshe skyel dgos dus de ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00426_338.350-340.550.wav,STT_TT,3,64,2.1999999999999886,wav16k/STT_TT00426_338.350-340.550.wav,མི་འགྲོ་འགདོག མི་སྡོད་སྡོད་ར་བྱས། མི་ཚེ་སྐྱེལ་དགོས་དུས་དེ་བ།
STT_TT00390_554.900-557.000,ཨེ་ནས། ཤིང་དེ་གས་གིས། ངར་རེ་བ་སེ་གེ་བཏོན་གི་མི་འདུག་ག ,e nas/_shing de gas gis/_ngar re ba se ge bton gi mi 'dug ga_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00390_554.900-557.000.wav,STT_TT,3,54,2.1000000000000227,wav16k/STT_TT00390_554.900-557.000.wav,ཨེ་ནས།་ཤིང་དེ་གས་ཀིས་ངར་རེ་བ་སེ་གེ་བཏོན་གི་མི་འདུག་ག
STT_TT00447_51.150-52.150,དགོན་པས་ལས་རྒྱོ་ཡེ། མ་རེད་བ།  ,dgon pas las rgyo ye/_ma red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00447_51.150-52.150.wav,STT_TT,3,30,1.0,wav16k/STT_TT00447_51.150-52.150.wav,དགོན་པས་ལེན་རྒྱོཡེ་མ་རེད་བ།
STT_CS-D-2012-P-D-B01-6-R-01_0083_828353_to_836527,སྔོན་མ་སྔོན་མ་མི་གཅིག པུ་གུ་གཅིག་ཡོད། བུ་མོ་གཅིག་སེང་གེ་ཉར་བསྡད་དུས་ཨ་ལ་མོ་གཞས་འདྲ་བོ་བཏང་པི་ཝང་འདྲ་བོ་བཏང་བྱེད་ཀི་རེད།  ,sngon ma sngon ma mi gcig_pu gu gcig yod/_bu mo gcig seng ge nyar bsdad dus a la mo gzhas 'dra bo btang pi wang 'dra bo btang byed ki red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2012-P-D-B01-6-R-01_0083_828353_to_836527.wav,STT_CS,3,121,8.174,wav16k/STT_CS-D-2012-P-D-B01-6-R-01_0083_828353_to_836527.wav,སྔོན་མ་སྔོན་མ་མི་གཅིག་་གཅིག་ཡོད། བུ་མོ་གཅིག་སེང་གེ་ཉར་བསྡད་། ཨ་ནས་མོ་གཟས་འདྲ་བོ་བཏང་ེ། པད་ཝང་འདྲ་བོ་བཏང་བྱས་པ་རེད།
STT_TT00627_0001_43506_to_52841,ཇོ་བོ་རྗེ་ལ་ཡ། བླ་མས་གནང་ཤག་རྒྱོ་གི་མཚོན་ཆའི་ལོ་ཟེར་ཡ་ཅིག གཞུང་དེ་རེད། ད་དེ་ཡང་གཞུང་དེ། ང་ཚོ་བོད་ལ་ག་འདྲས་ཟེ་དར་རེད་ཟེར་ན། ཇོ་བོ་རྗེ་དཔལ་ལྡན་ཨ་ཏི་ཤ་གིས་བསྣམས་ཕེབས་པ་ ,jo bo rje la ya/_bla mas gnang shag rgyo gi mtshon cha'i lo zer ya cig_gzhung de red/_da de yang gzhung de/_nga tsho bod la ga 'dras ze dar red zer na/_jo bo rje dpal ldan a ti sha gis bsnams phebs pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00627_0001_43506_to_52841.wav,STT_TT,3,166,9.335,wav16k/STT_TT00627_0001_43506_to_52841.wav,ཇོ་བོ་རྗེ་ལ་ཡ། བླ་མས་གནང་བཞག་རྒྱོ་གི་མཚོན་ཆ་འཁོར་ལོ་ཟེར་ཡ་གཅིག གཞུང་དེ་རེད། ད་དེ་ཡང་གཞུང་དེ། ང་ཚོ་བོད་ལ་ག་འདྲས་སེ་དག་རེད་ཟེར་ན། ཇོ་བོ་རྗེ་དཔལ་ལྡན་ཨ་ཏི་ཤ་གིས་རྣམ་ཕེབསཔ།
STT_CS-X-2018-M-D-B01-1-R-01_0193_1480580_to_1486168,ཨ་ནས་རཱ་ང་ཚོ་རཱ། ཕར་ཕྱོགས་བྷ་སྀཁའེཋྀ་རྩེད་བསྡད་ཡོད་རེད་ད་རཱ།  ,a nas rA nga tsho rA/_phar phyogs b+ha s-ikha'eTh-i rtsed bsdad yod red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2018-M-D-B01-1-R-01_0193_1480580_to_1486168.wav,STT_CS,3,61,5.588,wav16k/STT_CS-X-2018-M-D-B01-1-R-01_0193_1480580_to_1486168.wav,ཡད་རཱ། ཨ་ནས་རཱ་ང་ཚོ་རཱ། ཕར་ཕྱོགས་བྷ་སྀཁའེཋྀ་རྩེ་བསྡད་ཡོད་རེད་ད་རཱ།
STT_TT00443_1269.650-1272.700,གཉིད་ཁུག་བསྡད་མེད་ནས་ལེ། ཅིག་ཕ་གི་དཔེ་ཆའི་འཁྲིས་དེ་བསྡད། དཔེ་གཞུང་གི་འཁྲིས་དེ།  ,gnyid khug bsdad med nas le/_cig pha gi dpe cha'i 'khris de bsdad/_dpe gzhung gi 'khris de/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00443_1269.650-1272.700.wav,STT_TT,3,80,3.0499999999999545,wav16k/STT_TT00443_1269.650-1272.700.wav,གཉིད་ཁུག་བསྡད་མེད་ན་ལེ། ཅིག་ཕ་གི་དཔེ་ཆའི་འཁྲིས་དེར་བསྡད། དཔེ་གཞུང་གི་འཁྲིས་དེ།
